ID,User Story/Use Case,Priority,Story Points (Relative Effort),Acceptance Criteria (When is it done?),Status
1,"As a user, I want to log in with my email and password so that the system can authenticate me and show my dashboard",High,5,"User can enter credentials. System validates against all user lists. Correct dashboard (Student, Organizer, Admin) opens on success. Error message shows on failure",To Do
2,"As a Student, I want to see a dashboard with a list of all available events so that I can see what's happening",High,3,"Dashboard loads after login. A ListView shows all ""Active"" events from the database",To Do
3,"As a Student, I want to register for an event so that I can reserve my spot",High,5,"Register"" button is present. Clicking it adds a Registration to the Event and Student. App checks for event capacity and existing registration. Data is saved to XML",To Do
4,"As a Student, I want to create my own event so that I can organize a study group or small activity",Medium,8,"""Create Event"" button opens a new form. Form validates all fields (title, time, room, capacity)",To Do
5,"As an Event Organizer, I want to see a dashboard with only the events I have created",High,5,"When an EventOrganizer logs in, a new dashboard opens. The list shows only events where event.getOrganizer() matches the current user",To Do
6,"As an Event Organizer, I want to cancel an event I created",Medium,3,"""Cancel"" button is on the dashboard. Clicking it sets the event.status to ""Cancelled"". The change is saved to XML",To Do
7,"As an Event Organizer, I want to see a list of students who have registered for my event",Medium,5,"""View Registrations"" button opens a new popup window. The window lists all students for the selected event",To Do
8,"As an Administrator, I want to have a dashboard so I can perform my admin duties",High,3,"When an Administrator logs in, a new ""Admin Dashboard"" window opens.",To Do
9,"As an Administrator, I want to manage user accounts so I can assign roles",High,8,"Admin dashboard has a ""Manage Users"" UI. Admin can see a list of all users. Admin can change a Student account to an EventOrganizer",To Do
10,"As an Administrator, I want to manage rooms so I can add or remove bookable locations",High,8,"Admin dashboard has a ""Manage Rooms"" UI. Admin can add a new Room with name/capacity. Admin can delete an existing Room. Changes are saved to XML",To Do
11,"As an Administrator, I want to generate reports on event participation.",Low,5,"Admin dashboard has a ""Generate Report"" button. Clicking it displays the output in a new window",To Do
12,"As a new user, I want to create a new Student account so I can use the system",High,8,"The Login screen has a ""Create Account"" button. This opens a new form for self-registration. A new Student object is created and saved to XML",To Do